aX,aY,aZ,gX,gY,gZ
0.207,-0.952,0.843,-139.893,-13.855,-15.320

0.211,-0.957,0.854,-135.071,-14.526,-15.991

0.214,-0.963,0.861,-128.601,-16.357,-16.785

0.221,-0.976,0.873,-120.728,-17.761,-17.029

0.226,-0.987,0.888,-112.183,-17.151,-16.479

0.231,-0.998,0.908,-103.271,-14.709,-14.893

0.232,-1.014,0.945,-94.543,-11.047,-13.062

0.238,-1.028,0.979,-85.938,-6.897,-11.414

0.233,-1.036,1.003,-76.538,-4.272,-11.292

0.221,-1.036,1.017,-68.054,-3.662,-12.207

0.214,-1.043,1.021,-59.204,-4.700,-12.512

0.211,-1.045,1.007,-50.415,-5.554,-10.620

0.215,-1.051,0.995,-41.748,-5.005,-7.751

0.220,-1.050,0.990,-34.912,-3.723,-4.822

0.224,-1.048,0.985,-28.931,-2.502,-2.808

0.222,-1.040,0.971,-22.888,-1.892,-2.014

0.218,-1.032,0.953,-17.151,-1.709,-2.075

0.214,-1.022,0.934,-11.780,-2.197,-2.502

0.210,-1.010,0.919,-7.385,-3.174,-3.052

0.215,-1.005,0.902,-3.540,-3.662,-3.357

0.218,-1.008,0.888,0.305,-3.418,-2.563

0.221,-1.000,0.888,2.869,-2.197,-1.404

0.229,-0.998,0.897,4.456,-0.610,-0.183

0.231,-1.001,0.901,7.019,0.732,1.038

0.231,-1.004,0.910,10.254,2.502,2.075

0.233,-1.007,0.934,13.489,4.822,3.418

0.238,-1.016,0.958,17.212,6.897,5.249

0.242,-1.024,0.987,21.362,9.094,7.080

0.248,-1.043,1.019,25.635,11.536,8.728

0.245,-1.070,1.036,31.555,13.977,10.437

0.246,-1.110,1.064,39.612,16.541,12.207

0.240,-1.117,1.067,49.255,20.935,15.747

0.235,-1.121,1.070,58.899,25.146,19.348

0.226,-1.124,1.081,67.932,28.442,23.071

0.226,-1.118,1.086,76.904,31.860,27.100

0.230,-1.120,1.067,85.510,35.278,31.006

0.229,-1.118,1.035,94.238,38.513,34.424

0.230,-1.101,1.005,102.722,41.992,37.354

0.233,-1.076,0.972,110.657,44.800,39.490

0.245,-1.061,0.930,118.469,46.387,41.382

0.258,-1.047,0.902,125.183,46.814,41.626

0.274,-1.039,0.873,130.920,46.082,40.344

0.292,-1.033,0.849,137.695,43.823,38.025

0.312,-1.013,0.828,143.982,41.443,34.485

0.323,-1.003,0.798,149.963,39.063,30.762

0.330,-0.997,0.764,156.738,37.720,28.503

0.338,-0.981,0.731,162.659,39.063,27.710

0.340,-0.973,0.707,167.114,41.260,28.503

0.337,-0.974,0.702,172.058,44.739,30.273



-0.118,2.060,-0.918,143.372,13.550,-15.015

-0.102,2.182,-1.055,119.995,2.502,-28.809

-0.088,2.200,-1.176,88.562,-4.578,-36.255

-0.089,2.113,-1.237,49.133,-3.479,-38.574

-0.104,1.977,-1.159,2.380,5.371,-40.527

-0.111,1.810,-1.005,-45.105,14.404,-41.016

-0.118,1.602,-0.875,-83.069,11.353,-43.457

-0.133,1.407,-0.799,-110.840,2.625,-47.180

-0.104,1.221,-0.702,-133.057,-5.920,-53.528

-0.064,1.061,-0.650,-149.597,-11.963,-58.472

-0.040,0.927,-0.609,-161.804,-16.846,-65.002

-0.043,0.837,-0.574,-171.753,-20.691,-72.754

-0.042,0.758,-0.561,-178.162,-22.522,-79.468

-0.051,0.716,-0.558,-182.678,-25.635,-83.984

-0.056,0.696,-0.571,-187.744,-29.602,-88.867

-0.058,0.684,-0.598,-191.711,-34.607,-91.064

-0.042,0.668,-0.623,-196.594,-40.222,-90.515

-0.009,0.629,-0.635,-203.491,-44.861,-88.074

0.027,0.576,-0.632,-213.379,-48.096,-85.388

0.061,0.507,-0.607,-225.403,-50.903,-83.923

0.094,0.428,-0.566,-238.220,-53.650,-84.351

0.140,0.304,-0.500,-249.817,-56.030,-85.449

0.172,0.157,-0.426,-257.996,-57.861,-86.304

0.186,0.021,-0.346,-263.916,-59.631,-90.149

0.205,-0.119,-0.276,-264.221,-60.730,-94.360

0.239,-0.223,-0.220,-258.911,-63.110,-98.511

0.260,-0.333,-0.193,-248.047,-67.322,-101.990

0.285,-0.396,-0.194,-237.427,-72.998,-106.750

0.308,-0.420,-0.205,-228.149,-78.369,-111.938

0.342,-0.430,-0.220,-221.069,-81.421,-115.417

0.363,-0.483,-0.226,-217.102,-80.688,-117.065

0.362,-0.532,-0.184,-217.102,-76.355,-117.004

0.364,-0.581,-0.128,-217.712,-69.946,-115.601

0.393,-0.640,-0.105,-214.050,-66.711,-111.938

0.411,-0.701,-0.087,-208.435,-66.223,-109.375

0.417,-0.747,-0.063,-204.834,-66.895,-111.572

0.419,-0.788,-0.027,-201.660,-68.787,-115.845

0.409,-0.818,-0.009,-196.350,-69.336,-117.554

0.396,-0.834,-0.003,-192.139,-68.359,-117.493

0.378,-0.869,0.006,-189.758,-66.772,-113.770

0.382,-0.934,0.051,-188.782,-60.791,-104.431

0.393,-0.995,0.105,-187.683,-49.561,-91.003

0.412,-1.049,0.135,-185.242,-38.635,-76.599

0.414,-1.076,0.161,-181.946,-31.372,-64.758

0.416,-1.082,0.181,-177.979,-28.198,-57.983

0.413,-1.083,0.161,-171.204,-29.480,-55.603

0.408,-1.065,0.132,-164.246,-33.081,-55.054

0.409,-1.030,0.112,-159.729,-34.546,-54.321

0.427,-1.018,0.101,-157.654,-34.119,-53.162

0.427,-1.009,0.107,-158.203,-33.264,-53.772

0.412,-0.989,0.119,-161.011,-33.020,-57.861

