aX,aY,aZ,gX,gY,gZ
0.516,0.322,0.925,-17.517,-11.719,8.301

0.506,0.328,0.926,-18.799,-6.897,12.329

0.495,0.338,0.914,-19.653,-1.038,14.526

0.468,0.345,0.903,-19.104,4.944,15.808

0.431,0.348,0.894,-15.991,9.094,16.846

0.396,0.351,0.886,-11.475,10.315,17.395

0.372,0.368,0.881,-7.507,8.606,16.418

0.357,0.380,0.867,-3.967,4.822,14.099

0.359,0.396,0.858,-1.465,0.916,11.047

0.360,0.413,0.851,0.183,-2.380,7.812

0.368,0.427,0.850,1.587,-5.188,5.066

0.381,0.444,0.850,2.625,-7.263,3.540

0.392,0.457,0.856,3.601,-8.911,3.357

0.413,0.469,0.880,3.235,-9.583,4.944

0.426,0.507,0.894,0.061,-8.972,9.277

0.403,0.539,0.902,-5.310,-8.179,15.198

0.365,0.552,0.895,-9.827,-6.348,18.860

0.323,0.561,0.878,-13.428,-4.700,19.287

0.292,0.569,0.859,-16.846,-3.662,16.785

0.261,0.563,0.840,-19.531,-4.272,13.000

0.237,0.562,0.806,-18.127,-6.287,8.972

0.220,0.578,0.781,-13.550,-8.972,5.615

0.206,0.593,0.774,-6.165,-10.010,2.563

0.206,0.594,0.777,2.441,-9.155,-1.587

0.210,0.601,0.783,11.780,-6.897,-6.897

0.200,0.626,0.786,23.132,-3.418,-11.414

0.179,0.655,0.794,37.842,1.953,-14.343

0.174,0.682,0.835,53.894,9.399,-16.174

0.182,0.764,0.893,65.491,17.700,-15.991

0.184,0.897,0.905,72.083,23.499,-13.367

0.181,1.012,0.918,70.068,25.574,-12.573

0.173,1.123,0.935,56.396,24.780,-14.038

0.153,1.250,0.940,38.879,22.827,-14.587

0.156,1.367,0.914,28.076,20.691,-14.587

0.182,1.525,0.866,23.926,18.616,-16.479

0.236,1.710,0.805,24.597,18.066,-22.400

0.285,1.925,0.790,32.227,19.714,-29.541

0.280,2.254,0.835,47.852,26.367,-32.898

0.205,2.710,0.961,76.111,44.006,-30.884

0.027,3.187,1.157,122.498,75.867,-26.550

-0.236,3.567,1.424,169.189,117.615,-29.419

-0.537,3.754,1.701,187.073,161.743,-55.237

-0.833,3.622,1.805,162.903,198.486,-115.234

-0.994,3.044,1.683,86.914,214.233,-199.402

-1.038,1.980,1.273,-32.288,196.411,-288.513

-1.311,0.670,0.703,-168.274,128.906,-357.239

-1.770,-1.162,0.245,-290.955,7.874,-390.381

-1.989,-3.700,-0.270,-392.822,-163.269,-390.564

-1.999,-4.000,-0.449,-441.895,-384.827,-379.883

-1.634,-4.000,-0.163,-348.022,-522.461,-340.149

-0.844,-4.000,0.502,-83.130,-462.158,-281.311

0.071,-4.000,1.583,147.827,-290.466,-270.508

0.942,-4.000,2.588,254.517,-127.075,-272.583

1.576,-4.000,3.148,264.954,-14.160,-231.506

1.916,-4.000,3.160,214.172,42.908,-149.231

1.840,-3.379,2.724,125.977,54.932,-37.415

1.198,-2.546,2.110,8.911,61.462,85.327



-0.536,-1.791,1.024,-115.173,115.173,221.252

-0.966,-1.401,0.595,-104.858,116.394,218.994

-1.098,-0.920,0.402,-77.515,86.609,206.848

-1.054,-0.493,0.381,-50.476,40.588,192.444

-0.950,-0.256,0.474,-38.757,-3.601,165.955

-0.852,-0.228,0.648,-37.109,-35.339,130.188

-0.744,-0.266,0.799,-37.842,-51.270,92.102

-0.644,-0.261,0.863,-37.537,-54.260,56.580

-0.568,-0.206,0.836,-29.663,-50.293,27.954

-0.439,-0.263,0.808,-14.099,-43.701,2.380

-0.226,-0.294,0.867,-9.583,-36.987,-16.235

-0.007,-0.331,0.937,2.563,-33.508,-17.090

0.148,-0.306,0.969,7.996,-33.447,1.770

0.239,-0.308,1.008,8.972,-32.043,30.457

0.270,-0.353,1.047,5.615,-27.466,60.974

0.274,-0.379,1.028,-4.150,-18.738,86.914

0.259,-0.383,0.956,-17.395,-6.531,104.370

0.236,-0.403,0.874,-26.794,5.615,112.793

0.225,-0.426,0.793,-29.541,15.381,112.061

0.247,-0.400,0.710,-29.358,21.667,105.652

0.295,-0.321,0.642,-24.658,25.269,98.511

0.327,-0.239,0.613,-12.512,27.283,93.567

0.357,-0.195,0.615,1.709,29.114,90.393

0.388,-0.146,0.627,11.292,32.104,86.975

0.410,-0.102,0.653,15.991,36.621,84.778

0.433,-0.041,0.693,13.977,43.823,84.351

0.448,0.028,0.734,11.780,52.612,86.548

0.440,0.116,0.786,10.620,61.584,93.567

0.436,0.198,0.779,14.160,69.763,102.295

0.446,0.283,0.737,20.081,75.134,106.873

0.447,0.351,0.718,24.170,78.003,106.079

0.462,0.405,0.692,27.527,76.965,101.929

0.462,0.458,0.668,26.550,69.824,96.497

0.460,0.495,0.650,21.301,58.472,91.125

0.456,0.520,0.646,12.512,45.532,85.510

0.441,0.536,0.660,2.686,32.715,79.102

0.421,0.560,0.686,-4.761,22.461,71.533

0.424,0.600,0.705,-10.132,14.160,63.293

0.462,0.645,0.711,-12.939,7.324,54.077

0.501,0.688,0.716,-15.686,0.671,45.471

0.520,0.706,0.730,-18.127,-5.188,37.964

0.516,0.709,0.747,-19.775,-10.986,33.142

0.500,0.703,0.779,-21.606,-16.907,30.029

0.487,0.688,0.826,-24.231,-21.423,27.954

0.469,0.686,0.864,-28.564,-25.452,26.978

0.439,0.664,0.898,-32.898,-28.748,27.283

0.423,0.669,0.926,-38.635,-30.457,28.381

0.406,0.671,0.932,-44.128,-30.640,28.870

0.377,0.666,0.928,-47.241,-28.870,28.625

0.362,0.654,0.918,-48.157,-24.780,27.771

0.342,0.629,0.896,-48.645,-18.860,26.123

0.327,0.634,0.878,-52.124,-13.000,23.499

0.307,0.607,0.851,-44.861,-8.118,23.010

0.288,0.600,0.836,-36.804,-4.028,23.804

0.267,0.601,0.827,-27.893,-0.244,24.048

0.243,0.600,0.827,-16.174,3.662,23.254

0.233,0.576,0.845,-3.967,6.714,21.057

0.252,0.542,0.880,4.700,8.240,17.456

0.285,0.525,0.910,8.545,6.775,15.320

0.303,0.532,0.936,7.385,3.113,16.235

0.314,0.524,0.959,5.127,-1.282,18.738

0.320,0.516,0.962,-0.854,-4.395,21.179

0.328,0.519,0.950,-10.559,-5.249,21.362

0.337,0.524,0.932,-18.372,-4.089,19.287

0.338,0.507,0.910,-21.790,-2.502,15.808

0.338,0.486,0.881,-22.644,-2.075,11.780

0.338,0.481,0.845,-21.362,-3.662,7.935

0.334,0.492,0.809,-18.921,-7.263,5.188

0.321,0.506,0.789,-14.771,-11.719,3.540

0.304,0.519,0.788,-9.827,-15.808,1.953

0.291,0.532,0.792,-4.395,-19.165,-0.427

0.284,0.562,0.792,1.160,-21.912,-2.563

0.272,0.593,0.814,6.409,-22.888,-4.517

0.267,0.619,0.840,10.376,-22.461,-5.554

0.262,0.650,0.861,12.695,-22.278,-6.287

0.235,0.700,0.877,13.916,-21.606,-6.531

0.200,0.767,0.896,15.686,-18.921,-5.859

0.159,0.840,0.929,16.541,-14.771,-4.761

0.118,0.935,0.944,17.212,-9.033,-2.136

0.094,1.038,0.935,20.752,-1.221,1.526

0.081,1.115,0.903,25.635,9.399,3.479

0.080,1.161,0.853,29.602,20.935,2.258

0.077,1.183,0.800,31.494,30.640,-0.916

0.066,1.189,0.763,30.701,38.086,-6.531

0.045,1.169,0.740,26.917,41.382,-16.357

0.022,1.148,0.717,20.752,37.354,-28.198

0.032,1.149,0.699,14.221,26.306,-39.429

0.054,1.165,0.686,8.484,10.193,-50.476

0.047,1.199,0.696,4.456,-6.042,-61.462

0.045,1.230,0.695,5.615,-18.188,-73.059

0.059,1.257,0.682,12.085,-24.475,-85.144

0.082,1.268,0.658,20.752,-25.513,-99.548

0.114,1.250,0.635,29.724,-23.682,-116.272

0.149,1.198,0.628,36.377,-21.545,-133.789

0.191,1.141,0.641,38.513,-22.522,-150.696

0.234,1.094,0.660,36.560,-27.710,-163.452

0.301,1.008,0.670,34.241,-36.194,-171.326

0.342,1.003,0.688,20.203,-46.509,-178.162

0.338,0.963,0.707,5.798,-55.176,-184.814

0.302,0.828,0.755,-5.127,-59.387,-191.467

0.221,0.648,0.788,-23.621,-61.707,-196.838

0.082,0.421,0.807,-53.162,-62.317,-196.899

-0.107,0.110,0.841,-87.341,-62.683,-187.683

-0.385,-0.320,0.892,-119.019,-65.125,-171.570

-0.789,-0.922,0.883,-133.240,-73.364,-155.823

-1.232,-1.670,0.842,-122.375,-89.966,-147.461

-1.441,-2.431,0.925,-95.459,-112.549,-151.917

-1.413,-3.110,1.185,-56.335,-135.559,-165.833

-1.117,-3.522,1.548,-9.766,-168.945,-182.007

-0.696,-3.444,1.940,36.194,-198.975,-194.275

-0.223,-3.197,2.235,73.120,-189.636,-189.575

0.253,-2.886,2.429,95.581,-141.541,-168.884

0.631,-2.511,2.408,101.440,-79.102,-142.212

0.874,-2.178,2.169,90.515,-17.212,-109.497

0.911,-1.906,1.844,60.852,31.189,-67.749

0.738,-1.645,1.538,10.498,61.523,-15.747

0.400,-1.405,1.285,-43.274,70.740,42.969

-0.005,-1.174,1.107,-75.623,63.599,96.436

-0.351,-0.913,0.921,-80.139,50.171,130.615



0.346,1.437,0.969,84.961,41.382,-65.735

0.301,1.688,1.044,94.055,54.321,-64.636

0.244,1.956,1.114,97.961,71.289,-64.941

0.162,2.142,1.150,95.459,91.797,-68.970

0.029,2.191,1.164,84.045,113.281,-79.163

-0.143,2.042,1.109,53.162,129.211,-100.281

-0.344,1.675,1.000,-0.977,136.963,-133.240

-0.576,1.109,0.857,-69.641,135.315,-174.988

-0.827,0.418,0.610,-138.123,117.371,-216.003

-1.085,-0.517,0.310,-201.721,72.327,-247.009

-1.259,-1.672,0.335,-269.226,-8.179,-262.756

-1.174,-3.036,0.112,-322.571,-134.583,-268.188

-0.919,-3.919,0.000,-336.853,-317.139,-261.169

-0.559,-4.000,0.312,-278.687,-472.900,-223.572

-0.039,-4.000,1.078,-130.676,-496.216,-169.983

0.371,-4.000,2.013,16.113,-393.311,-137.085

0.788,-3.995,2.624,120.728,-231.934,-104.431

1.091,-3.370,2.823,178.345,-60.120,-55.298

1.097,-2.801,2.790,183.655,83.923,-6.653

0.857,-2.314,2.535,158.630,179.749,34.851

0.506,-1.863,2.103,113.220,219.849,73.120

0.169,-1.426,1.664,48.462,210.449,110.107

-0.110,-1.075,1.305,-7.935,169.861,142.151

-0.340,-0.817,0.986,-41.382,117.981,161.499

-0.518,-0.563,0.769,-58.960,65.918,168.030

-0.592,-0.309,0.668,-70.435,23.865,160.828

-0.584,-0.051,0.650,-78.918,-4.150,140.076

-0.545,-0.028,0.684,-63.110,-17.883,113.831

-0.512,0.003,0.740,-52.551,-23.254,87.769

-0.490,0.049,0.793,-54.138,-22.156,60.730

-0.487,0.058,0.822,-43.640,-19.226,35.522

-0.475,0.053,0.837,-30.579,-18.677,10.681

-0.411,-0.021,0.886,-15.442,-18.738,-16.174

-0.287,-0.142,0.987,0.366,-18.066,-37.842

-0.151,-0.214,1.097,9.766,-17.273,-44.006

-0.035,-0.231,1.189,11.841,-17.395,-32.227

0.035,-0.238,1.229,10.559,-17.151,-8.362

0.103,-0.268,1.272,5.554,-12.817,19.165

0.166,-0.301,1.291,-5.188,-3.540,44.922

0.163,-0.316,1.259,-17.334,7.507,65.674

0.128,-0.296,1.188,-24.963,19.287,79.102

0.094,-0.284,1.113,-26.062,30.396,83.496

0.080,-0.278,1.058,-24.475,40.283,79.468

0.084,-0.268,1.017,-18.555,48.035,69.031

0.109,-0.240,0.991,-8.911,53.528,56.824

0.165,-0.212,0.968,2.380,57.434,45.288

0.240,-0.199,0.940,12.878,59.875,35.217

0.299,-0.202,0.913,20.447,62.256,26.978

0.359,-0.230,0.888,29.358,66.467,20.630

0.426,-0.256,0.868,34.424,70.129,17.395

0.517,-0.258,0.854,34.729,71.350,20.142

0.602,-0.231,0.835,31.494,69.946,30.212

0.637,-0.192,0.802,29.358,65.613,43.762

0.640,-0.133,0.760,27.161,59.692,55.298

0.620,-0.048,0.707,28.748,55.115,63.049

0.596,0.025,0.675,34.668,53.406,64.880

0.574,0.077,0.660,41.321,53.711,60.852

0.561,0.099,0.661,46.631,51.758,53.528

0.545,0.099,0.675,50.171,45.654,44.739

0.520,0.111,0.696,51.331,35.706,36.743

0.510,0.128,0.716,52.307,24.597,30.579

0.525,0.161,0.733,54.382,12.512,24.902

0.570,0.194,0.760,55.969,0.854,20.691

0.609,0.207,0.808,56.824,-9.155,18.616

0.631,0.225,0.888,54.871,-16.907,19.775

0.636,0.246,0.948,49.500,-20.691,24.841

0.612,0.246,0.995,43.518,-20.203,31.433

0.586,0.232,1.021,36.011,-16.174,36.194

0.547,0.217,1.024,25.696,-9.033,37.476

0.503,0.202,1.001,17.273,-0.549,37.537

0.494,0.190,0.963,12.756,8.362,37.109

0.500,0.172,0.916,11.292,14.771,35.583

0.511,0.169,0.886,11.414,16.663,33.142

0.524,0.185,0.859,13.062,14.893,30.640

0.535,0.199,0.846,17.395,10.864,28.564

0.535,0.223,0.850,22.705,6.287,26.733

0.529,0.240,0.861,26.428,2.014,24.902

0.516,0.245,0.868,28.137,-1.648,22.827

0.500,0.246,0.865,27.100,-4.761,19.714

0.485,0.238,0.855,23.376,-8.118,14.893

0.487,0.221,0.880,17.456,-11.719,10.010

0.510,0.203,0.929,9.705,-15.564,7.446

0.540,0.221,0.948,-1.404,-20.752,9.033

0.559,0.270,0.954,-11.597,-26.428,15.442

0.570,0.322,0.960,-22.217,-28.870,23.865

0.564,0.360,0.958,-30.212,-25.818,30.579

0.538,0.390,0.939,-34.119,-17.944,35.339

0.513,0.421,0.916,-36.804,-7.751,37.476

0.486,0.446,0.891,-40.100,1.953,38.818

0.444,0.454,0.859,-43.274,8.484,40.833

0.397,0.458,0.826,-47.241,10.925,42.175

0.353,0.463,0.798,-52.063,10.254,42.542

0.319,0.464,0.766,-56.458,6.897,41.382

0.291,0.470,0.739,-61.523,1.709,38.635

0.265,0.462,0.727,-65.369,-3.906,34.973

0.253,0.458,0.712,-65.857,-9.399,30.334

0.249,0.462,0.701,-63.843,-14.954,24.963

0.234,0.464,0.689,-58.044,-20.142,20.142

0.238,0.474,0.681,-48.462,-24.902,15.808

0.245,0.483,0.682,-38.330,-28.076,10.803

0.238,0.482,0.693,-28.748,-30.273,5.432

0.234,0.477,0.704,-18.921,-31.006,0.427

0.233,0.476,0.714,-9.399,-31.494,-4.333

0.234,0.471,0.723,0.305,-31.860,-9.521

0.247,0.469,0.736,9.521,-31.799,-14.221

0.256,0.464,0.754,17.578,-31.555,-17.822

0.257,0.454,0.774,24.780,-31.372,-19.836

0.266,0.443,0.808,30.518,-31.494,-20.874

0.288,0.443,0.845,35.278,-31.677,-21.301

0.304,0.439,0.874,40.222,-32.471,-20.752

0.328,0.472,0.883,45.959,-33.508,-18.860

0.350,0.528,0.884,49.561,-32.837,-15.625

0.362,0.569,0.904,49.072,-27.893,-11.414

0.357,0.612,0.934,52.979,-20.081,-6.165

0.346,0.706,0.966,59.387,-10.376,0.793

0.341,0.874,1.009,71.045,2.563,12.085

0.360,1.100,1.039,91.858,22.705,27.893

0.388,1.355,1.057,119.141,49.194,45.166

0.396,1.666,1.117,145.142,78.796,60.852



0.275,2.414,1.305,181.152,142.883,71.899

0.186,2.741,1.415,178.772,171.875,56.458

0.116,3.000,1.478,156.616,189.819,25.146

0.043,3.198,1.526,110.596,189.575,-14.465

-0.105,3.318,1.517,49.133,171.692,-51.331

-0.254,3.196,1.448,-11.047,141.296,-84.778

-0.404,2.866,1.294,-74.829,109.070,-118.896

-0.568,2.308,1.017,-143.005,81.543,-157.043

-0.784,1.556,0.670,-207.703,57.129,-198.730

-1.059,0.551,0.217,-260.986,22.766,-242.676

-1.514,-0.579,0.085,-314.026,-47.485,-283.386

-1.920,-1.764,-0.061,-366.638,-150.330,-315.308

-2.027,-3.133,-0.245,-385.132,-301.880,-334.412

-1.814,-4.000,0.056,-358.765,-505.066,-330.994

-1.555,-4.000,1.020,-277.527,-678.040,-291.565

-1.366,-4.000,2.091,-110.291,-685.547,-232.056

-0.936,-4.000,2.991,88.257,-496.155,-171.326

-0.144,-4.000,3.625,221.863,-224.731,-129.883

0.278,-3.640,3.663,252.197,24.780,-109.253

0.527,-3.061,3.206,217.773,193.787,-88.318

0.508,-2.673,2.658,176.575,259.583,-56.274

0.426,-2.340,2.057,126.160,260.620,-6.165

0.339,-1.966,1.482,59.143,223.999,41.199

0.188,-1.573,0.942,-16.052,164.551,80.322

-0.038,-1.290,0.527,-70.435,96.558,108.337

-0.268,-1.026,0.324,-93.567,32.166,127.075

-0.410,-0.731,0.300,-93.079,-11.719,133.545

-0.453,-0.461,0.393,-75.745,-29.846,122.498

-0.453,-0.301,0.544,-52.917,-30.334,100.952

-0.440,-0.226,0.711,-35.522,-25.818,76.721

-0.426,-0.175,0.836,-26.917,-23.926,52.490

-0.412,-0.123,0.900,-22.827,-24.963,29.663

-0.385,-0.111,0.918,-15.503,-25.940,6.714

-0.301,-0.163,0.949,-8.057,-23.315,-14.954

-0.178,-0.219,0.986,-4.944,-18.433,-29.419

-0.065,-0.260,1.024,-5.432,-14.648,-31.250

0.007,-0.304,1.062,-5.676,-14.038,-19.897

0.070,-0.350,1.082,-4.211,-14.282,-1.709

0.130,-0.380,1.105,-10.132,-11.230,16.052

0.185,-0.405,1.114,-11.963,-5.310,33.020

0.216,-0.393,1.092,-13.794,1.343,46.936

0.232,-0.398,1.064,-16.113,7.996,56.702

0.234,-0.432,1.040,-17.029,15.625,61.951

0.256,-0.445,1.004,-16.541,22.461,63.171

0.291,-0.424,0.967,-13.611,28.564,61.340

0.325,-0.393,0.938,-5.310,32.715,58.472

0.362,-0.363,0.934,6.470,36.011,57.068

0.392,-0.336,0.940,17.944,39.185,57.495

0.401,-0.316,0.943,29.968,43.640,59.326

0.402,-0.293,0.951,42.236,49.072,62.866

0.407,-0.288,0.979,51.941,54.626,67.200

0.411,-0.293,0.991,58.777,58.655,74.280

0.430,-0.280,0.992,63.477,60.486,82.581

0.444,-0.231,0.986,64.880,61.035,89.966

0.421,-0.180,0.996,65.491,60.364,95.764

0.412,-0.141,0.989,68.726,59.814,99.487

0.423,-0.080,0.984,72.021,58.167,100.281

0.445,-0.050,0.984,74.890,53.528,97.107

0.453,-0.051,0.996,77.148,46.936,90.149

0.456,-0.037,1.000,75.195,38.574,82.520

0.455,-0.008,1.004,69.763,29.419,75.745

0.462,0.003,1.014,61.890,19.531,70.435

0.467,0.008,1.024,52.246,8.972,65.430

0.451,0.019,1.027,40.466,-0.793,59.570

0.424,0.037,1.023,30.334,-8.362,53.894

0.414,0.052,1.009,20.752,-14.648,49.377

0.405,0.043,0.993,11.841,-19.104,46.753

0.391,0.039,0.965,5.676,-21.729,45.776

0.387,0.071,0.936,3.296,-23.376,44.434

0.394,0.107,0.902,4.272,-25.024,41.077

0.378,0.124,0.875,6.653,-26.550,36.682

0.362,0.136,0.857,8.972,-26.550,33.691

0.350,0.144,0.849,10.010,-25.330,31.982

0.339,0.159,0.842,9.766,-24.109,31.555

0.326,0.174,0.832,7.690,-23.437,31.738

0.326,0.186,0.811,4.211,-23.621,32.104

0.319,0.203,0.798,-1.282,-24.719,32.654

0.301,0.214,0.786,-6.287,-26.062,33.142

0.290,0.239,0.777,-8.789,-26.855,33.813

0.290,0.286,0.780,-8.728,-26.733,34.485

0.296,0.312,0.780,-5.859,-26.489,34.363

0.324,0.348,0.784,-3.845,-26.550,33.997

0.349,0.392,0.783,-5.066,-26.733,35.095

0.365,0.430,0.801,-8.972,-26.978,39.063

0.385,0.478,0.824,-15.381,-25.574,45.776

0.381,0.513,0.845,-21.484,-22.705,53.467

0.365,0.543,0.850,-25.024,-19.409,61.035

0.342,0.581,0.849,-26.978,-15.137,67.322

0.312,0.618,0.856,-27.344,-8.667,70.923

0.288,0.648,0.860,-26.306,-1.282,70.435

0.244,0.644,0.847,-24.902,5.249,67.261

0.208,0.674,0.860,-25.635,9.827,63.293

0.165,0.615,0.838,-22.217,10.559,57.739

0.144,0.646,0.828,-28.503,7.446,52.979

0.104,0.619,0.821,-23.926,1.709,47.058

0.066,0.618,0.822,-16.724,-6.042,41.748

0.041,0.624,0.829,-10.437,-14.526,34.119

0.017,0.636,0.833,-2.563,-21.790,24.902

-0.003,0.643,0.840,5.981,-25.940,15.747

-0.012,0.656,0.873,15.076,-27.100,6.531

-0.032,0.688,0.904,25.452,-26.306,-3.418

-0.062,0.744,0.946,36.011,-23.865,-13.794

-0.080,0.819,1.011,45.654,-18.799,-25.635

-0.077,0.935,1.095,56.885,-10.315,-39.429

-0.055,1.040,1.136,67.688,-1.221,-53.467

-0.033,1.136,1.164,73.608,5.005,-64.514

0.026,1.160,1.195,76.721,7.751,-72.083

0.091,1.286,1.217,81.909,7.751,-70.557

0.158,1.487,1.238,91.064,11.108,-62.500

0.219,1.754,1.291,108.032,21.667,-53.772

0.303,2.131,1.336,130.493,40.100,-43.823

0.363,2.604,1.407,157.837,68.237,-32.593

0.372,3.074,1.533,185.669,107.178,-25.635

0.301,3.461,1.701,204.834,151.550,-24.170

0.141,3.725,1.894,218.018,196.350,-24.414

-0.064,3.812,2.066,211.609,234.314,-32.288

-0.261,3.701,2.156,166.016,261.963,-59.021

-0.454,3.333,2.022,69.397,278.687,-105.347

-0.643,2.617,1.629,-78.674,275.208,-160.583



-1.350,0.230,0.362,-426.514,146.606,-250.183

-1.801,-1.317,-0.143,-589.905,-1.892,-268.738

-2.187,-2.921,-0.845,-721.558,-209.839,-269.470

-2.267,-3.998,-1.107,-746.826,-469.910,-260.864

-1.915,-4.000,-0.461,-590.637,-680.786,-244.446

-1.744,-4.000,0.703,-262.329,-666.321,-196.655

-1.385,-4.000,1.935,110.352,-413.269,-127.075

-1.239,-4.000,3.089,385.864,-105.286,-95.947

-0.710,-4.000,3.618,435.974,106.812,-108.154

-0.235,-3.999,3.943,325.073,153.320,-137.573

0.299,-3.230,3.864,179.321,96.191,-130.432

0.601,-2.968,3.302,101.379,22.705,-87.280

0.850,-2.601,2.420,-3.723,-0.305,-39.551

0.752,-2.145,1.583,-120.422,13.184,9.949

0.342,-2.063,0.875,-119.629,42.603,50.354

-0.048,-1.898,0.497,-93.323,58.777,85.815

-0.300,-1.486,0.395,-68.054,59.265,115.234

-0.428,-1.030,0.513,-29.541,51.941,132.324

-0.510,-0.702,0.711,4.517,36.987,133.667

-0.546,-0.437,0.877,16.785,19.775,123.840

-0.588,-0.270,0.957,13.062,7.324,102.112

-0.651,-0.232,0.997,6.836,0.732,72.449

-0.668,-0.230,1.000,5.859,-1.221,40.466

-0.643,-0.294,0.987,10.681,-2.075,8.667

-0.577,-0.416,0.988,20.752,-3.113,-20.081

-0.474,-0.533,0.994,28.931,-4.211,-43.213

-0.316,-0.693,1.027,41.138,-7.019,-55.847

-0.134,-0.790,1.090,46.021,-13.306,-53.589

-0.013,-0.837,1.174,42.542,-22.827,-35.828

0.109,-0.863,1.253,37.659,-30.762,-6.409

0.206,-0.811,1.314,24.231,-30.762,26.733

0.240,-0.764,1.294,14.343,-21.545,58.777

0.213,-0.719,1.262,5.676,-3.845,85.266

0.174,-0.639,1.194,-1.465,19.531,102.417

0.137,-0.510,1.085,-3.784,42.297,109.802

0.114,-0.375,0.977,1.282,60.730,109.741

0.115,-0.290,0.880,12.939,72.937,105.957

0.139,-0.240,0.804,28.259,78.613,102.112

0.157,-0.210,0.757,42.664,77.637,98.450

0.164,-0.196,0.759,55.603,71.106,95.398

0.162,-0.181,0.786,66.467,60.181,91.370

0.153,-0.136,0.805,71.594,47.607,86.609

0.161,-0.078,0.848,70.679,36.621,82.275

0.208,-0.035,0.907,67.017,27.588,78.308

0.283,0.021,0.958,61.829,19.287,75.500

0.368,0.090,0.987,55.969,10.681,74.768

0.437,0.150,1.001,50.903,2.319,73.914

0.493,0.199,1.014,44.312,-4.272,70.190

0.518,0.213,1.012,39.185,-7.202,65.430

0.537,0.208,1.025,35.095,-5.737,60.730

0.536,0.189,1.029,29.846,-0.854,55.969

0.519,0.170,1.021,23.499,5.371,52.063

0.511,0.139,0.994,16.418,11.292,49.744

0.521,0.116,0.953,6.958,14.343,48.279

0.518,0.112,0.895,-4.150,13.733,46.631

0.508,0.119,0.844,-13.611,10.193,46.021

0.509,0.125,0.813,-20.264,5.127,47.302

0.513,0.116,0.781,-24.048,0.244,48.828

0.507,0.118,0.766,-26.062,-4.944,49.683

0.488,0.141,0.757,-24.658,-8.667,50.049

0.463,0.183,0.755,-20.081,-9.827,49.805

0.424,0.200,0.766,-14.648,-8.545,48.401

0.399,0.198,0.788,-10.681,-5.432,45.593

0.389,0.202,0.797,-9.033,-3.174,41.687

0.378,0.197,0.798,-8.789,-4.395,37.598

0.375,0.188,0.803,-11.841,-8.057,34.485

0.381,0.162,0.803,-18.860,-13.367,32.654

0.395,0.147,0.801,-26.123,-20.203,32.104

0.403,0.161,0.794,-32.043,-27.466,32.776

0.400,0.183,0.791,-33.691,-33.630,34.180

0.385,0.205,0.799,-33.447,-36.316,35.217

0.383,0.209,0.805,-31.555,-35.522,33.936

0.377,0.226,0.817,-30.029,-32.593,31.494

0.376,0.237,0.837,-27.710,-29.297,30.151

0.367,0.235,0.872,-25.940,-24.963,31.799

0.375,0.239,0.904,-24.231,-21.362,35.706

0.395,0.274,0.914,-23.804,-18.860,41.138

0.384,0.307,0.930,-25.757,-16.602,47.485

0.345,0.315,0.947,-27.954,-12.024,53.101

0.296,0.317,0.950,-28.748,-5.066,56.458

0.249,0.302,0.944,-28.809,2.686,56.335

0.218,0.285,0.926,-27.588,9.033,52.856

0.189,0.268,0.908,-26.489,11.963,47.302

0.165,0.246,0.882,-25.208,11.719,41.199

0.164,0.233,0.857,-23.865,7.812,35.095

0.167,0.226,0.841,-22.827,1.282,29.785

0.166,0.225,0.845,-21.362,-5.798,25.574

0.174,0.222,0.851,-18.921,-11.902,21.423

0.178,0.216,0.869,-16.785,-16.846,17.883

0.193,0.227,0.891,-12.756,-20.142,15.503

0.213,0.257,0.915,-6.958,-21.606,14.099

0.227,0.305,0.937,0.061,-21.240,13.123

0.242,0.351,0.949,6.470,-18.921,12.573

0.249,0.392,0.965,11.353,-13.916,12.329

0.250,0.426,0.982,14.160,-6.653,12.817

0.240,0.444,1.003,17.029,0.854,13.000

0.239,0.469,1.005,19.409,7.263,11.841

0.249,0.520,0.995,19.043,11.719,9.583

0.265,0.577,0.979,17.029,15.137,6.348

0.251,0.623,0.952,15.808,18.005,2.502

0.237,0.670,0.921,16.418,19.897,-1.770

0.230,0.711,0.875,15.747,21.240,-6.897

0.217,0.730,0.848,12.817,22.339,-12.756

0.196,0.724,0.845,10.010,23.132,-17.822

