aX,aY,aZ,gX,gY,gZ
0.327,0.456,0.736,0.061,5.737,-5.432

0.317,0.461,0.734,4.272,2.747,-7.629

0.319,0.468,0.745,7.996,-0.671,-9.216

0.306,0.503,0.768,10.803,-4.333,-9.399

0.276,0.546,0.781,15.076,-7.019,-9.277

0.244,0.588,0.803,19.836,-8.179,-10.132

0.228,0.616,0.831,23.254,-8.179,-12.817

0.219,0.646,0.868,24.231,-8.118,-17.029

0.207,0.679,0.902,23.621,-7.446,-20.203

0.211,0.708,0.926,22.949,-5.615,-21.790

0.219,0.740,0.947,21.301,-2.808,-23.376

0.206,0.793,0.951,19.531,1.831,-23.804

0.177,0.846,0.939,22.705,9.094,-22.949

0.141,0.908,0.934,29.907,17.883,-23.315

0.126,0.998,0.912,38.147,26.367,-24.597

0.143,1.096,0.884,48.157,32.410,-27.344

0.184,1.197,0.854,56.152,34.302,-32.593

0.203,1.300,0.826,59.570,33.508,-39.612

0.218,1.372,0.805,58.350,30.945,-47.974

0.215,1.437,0.790,52.185,25.757,-58.960

0.203,1.492,0.776,46.509,22.278,-71.716

0.173,1.542,0.790,45.105,20.081,-85.754

0.156,1.613,0.824,49.011,18.433,-99.487

0.174,1.722,0.841,58.228,17.334,-112.244

0.210,1.844,0.874,70.313,17.395,-125.854

0.276,1.954,0.917,83.984,20.203,-140.320

0.315,2.084,0.980,91.980,24.414,-153.503

0.210,2.169,1.091,92.590,34.546,-164.917

0.053,2.085,1.177,85.938,55.908,-176.636

-0.122,1.820,1.228,59.692,85.754,-195.435

-0.315,1.361,1.216,1.526,113.831,-221.436

-0.551,0.761,1.165,-88.684,130.005,-246.155

-1.001,0.025,0.992,-193.115,120.544,-264.221

-1.707,-0.959,0.848,-283.813,79.163,-277.527



-2.811,-3.988,0.864,-368.408,-78.125,-320.374

-2.439,-4.000,0.715,-387.085,-221.008,-337.219

-1.670,-4.000,0.618,-324.951,-389.465,-312.988

-0.783,-4.000,0.951,-149.780,-468.628,-259.521

0.074,-4.000,1.847,23.926,-401.489,-205.688

0.995,-4.000,2.698,156.189,-235.046,-161.438

1.876,-4.000,2.908,250.122,-59.509,-127.869

2.042,-3.286,2.471,281.128,66.956,-81.177

1.691,-2.501,2.093,230.225,136.963,4.272

1.005,-1.991,1.795,115.601,160.156,122.864

0.079,-1.787,1.701,-4.272,149.231,223.328

-0.720,-1.663,1.552,-67.993,126.831,262.451

-1.112,-1.396,1.254,-79.590,97.046,255.310

-1.114,-0.992,0.916,-63.049,63.049,233.032

-0.945,-0.648,0.708,-49.683,27.893,208.618

-0.752,-0.492,0.647,-51.147,-0.366,182.556

-0.642,-0.519,0.698,-53.589,-14.709,154.968

-0.566,-0.605,0.766,-44.739,-19.043,127.136

-0.439,-0.630,0.780,-27.405,-15.686,101.746

-0.272,-0.690,0.825,-5.859,-10.254,83.252

-0.069,-0.795,0.921,18.799,-5.249,77.698

0.151,-0.798,1.009,36.743,-2.380,88.135

0.290,-0.719,1.087,51.208,-1.709,106.750

0.335,-0.654,1.107,64.758,-0.122,126.770

0.326,-0.580,1.068,67.383,5.798,145.447

0.274,-0.468,0.994,57.495,16.724,158.997

0.190,-0.368,0.926,45.715,28.015,164.185

0.117,-0.274,0.894,40.527,35.645,160.278

0.080,-0.241,0.847,50.171,36.926,149.414

0.095,-0.038,0.859,39.307,29.602,136.047

0.116,0.072,0.854,43.213,15.015,122.437

0.211,0.164,0.887,64.026,-5.371,112.854

0.263,0.298,0.894,70.251,-21.912,102.112

0.291,0.453,0.930,69.031,-28.809,89.722

0.318,0.505,0.980,67.383,-27.039,78.369

0.368,0.566,1.051,53.040,-18.494,67.078

0.375,0.553,1.086,43.701,-9.033,56.213

0.345,0.539,1.130,30.334,0.305,49.438

0.353,0.543,1.123,17.395,11.047,45.959

0.410,0.583,1.067,10.925,20.386,45.654

0.446,0.648,0.994,5.493,27.100,47.424

0.461,0.715,0.937,-1.282,32.898,48.889

0.498,0.783,0.865,-5.493,38.452,49.866

0.514,0.857,0.796,-10.437,43.152,51.086

0.512,0.914,0.744,-18.677,46.265,52.979

0.497,0.923,0.711,-29.846,47.424,54.565

0.449,0.915,0.692,-39.368,47.241,55.969

0.394,0.904,0.681,-42.969,45.776,55.359

0.385,0.882,0.649,-43.762,41.565,51.086

0.379,0.876,0.615,-42.664,35.034,46.265

0.344,0.867,0.597,-39.185,26.245,43.335

0.303,0.834,0.639,-33.936,16.113,40.283

0.279,0.798,0.691,-30.334,5.981,35.339

0.266,0.743,0.739,-30.212,-6.958,27.771

0.278,0.700,0.777,-35.156,-21.545,19.165

0.297,0.651,0.814,-42.725,-33.447,11.658

0.310,0.587,0.849,-49.622,-41.382,5.920

0.319,0.529,0.880,-56.641,-45.532,1.282

0.332,0.485,0.896,-62.439,-45.410,-2.747

0.346,0.446,0.899,-65.247,-41.931,-5.737

0.364,0.423,0.882,-64.209,-35.706,-7.019

0.351,0.380,0.856,-61.340,-28.992,-7.690

0.374,0.374,0.822,-58.838,-23.315,-8.484

0.360,0.290,0.777,-42.175,-22.095,-8.545

0.372,0.339,0.767,-49.072,-21.545,-8.972

0.377,0.320,0.753,-40.161,-22.095,-9.949

0.378,0.295,0.771,-24.048,-23.437,-9.705

0.385,0.294,0.788,-12.451,-23.315,-8.179

0.383,0.303,0.820,-4.150,-21.973,-6.531

0.386,0.305,0.847,0.610,-20.264,-5.310

0.398,0.327,0.868,1.770,-18.127,-3.540

0.407,0.373,0.883,-0.061,-14.526,0.122

0.414,0.421,0.901,-2.075,-9.949,5.249

0.415,0.478,0.902,-4.395,-4.883,9.705

0.399,0.513,0.886,-4.211,-0.183,12.573

0.381,0.528,0.881,-2.686,3.479,13.550

0.347,0.521,0.865,-1.526,5.859,12.085

0.315,0.515,0.844,-1.526,5.005,8.667

0.303,0.515,0.830,-3.662,2.014,4.456

0.295,0.521,0.820,-7.019,-3.113,0.427

0.275,0.531,0.821,-9.338,-9.888,-3.235

0.259,0.549,0.822,-9.705,-16.663,-7.080

0.247,0.572,0.831,-8.240,-22.156,-10.864

0.236,0.602,0.844,-5.310,-26.123,-13.794

0.256,0.638,0.857,0.610,-27.710,-15.625

0.270,0.669,0.866,5.432,-25.940,-16.418

0.262,0.711,0.884,9.766,-21.301,-14.099

0.255,0.761,0.895,13.916,-12.939,-10.193

0.251,0.812,0.881,17.212,-1.526,-6.165

0.235,0.852,0.863,21.240,9.888,-4.333

0.197,0.891,0.857,23.865,20.142,-4.395

0.170,0.899,0.841,26.062,26.978,-6.226

0.143,0.917,0.825,29.297,29.297,-9.033

0.143,0.946,0.810,33.142,27.161,-13.794

0.167,1.000,0.786,35.950,20.935,-20.996

0.185,1.079,0.772,38.574,13.794,-28.564

0.197,1.182,0.771,43.579,9.216,-35.339

0.214,1.307,0.788,52.429,8.301,-42.419

0.218,1.454,0.799,65.491,10.132,-51.270

0.224,1.614,0.831,80.994,12.146,-63.110

0.263,1.780,0.925,96.375,14.099,-75.867

0.385,1.986,1.022,108.582,16.785,-84.656

0.448,2.220,1.106,116.821,18.250,-87.952

0.446,2.405,1.237,118.713,19.897,-91.064

0.410,2.468,1.345,108.521,27.893,-104.248

0.301,2.309,1.385,87.463,48.645,-132.324

0.131,1.923,1.283,46.509,75.684,-170.654

-0.035,1.447,1.084,-13.916,99.854,-206.421

-0.281,0.836,0.943,-86.060,108.643,-232.361

-0.660,0.101,0.793,-159.363,94.604,-246.643

-1.197,-0.780,0.593,-219.177,58.105,-246.887

-1.731,-1.790,0.331,-252.136,-0.488,-236.877

-2.098,-2.852,0.215,-251.587,-81.726,-230.652

-2.190,-3.495,0.151,-222.900,-165.955,-242.065

-1.995,-3.787,0.189,-156.006,-221.924,-260.071

-1.537,-4.000,0.507,-58.899,-241.394,-283.875

-0.841,-4.000,1.229,23.743,-233.276,-303.772

-0.037,-4.000,2.053,68.726,-206.848,-294.434

0.666,-4.000,2.609,92.651,-165.710,-240.173



1.371,-3.015,2.643,118.286,-54.260,-66.528

1.309,-2.514,2.415,84.473,7.019,12.939

0.909,-2.064,2.163,9.644,64.148,88.013

0.294,-1.759,1.837,-58.960,111.755,153.503

-0.301,-1.559,1.482,-82.275,142.273,197.510

-0.661,-1.385,1.125,-63.354,147.217,215.088

-0.763,-1.143,0.849,-33.203,129.944,212.341

-0.723,-0.928,0.689,-12.390,101.990,196.045

-0.613,-0.792,0.655,-6.592,68.542,172.302

-0.506,-0.708,0.665,-2.808,39.307,147.827

-0.380,-0.649,0.684,8.179,21.423,126.892

-0.224,-0.598,0.732,20.508,11.597,110.291

-0.081,-0.539,0.785,28.809,5.676,98.206

0.038,-0.483,0.810,36.438,5.249,90.393

0.182,-0.401,0.830,41.138,8.972,88.135

0.276,-0.289,0.831,39.917,11.841,93.567

0.327,-0.215,0.836,36.865,12.085,102.844

0.369,-0.154,0.775,32.654,12.573,111.572

0.389,-0.070,0.700,26.245,14.160,119.263

0.364,0.014,0.650,20.447,16.235,125.488

0.295,-0.022,0.606,19.226,16.174,129.517

0.248,0.116,0.599,2.930,13.977,129.517

0.204,0.088,0.593,14.893,11.475,123.779

0.160,0.097,0.612,22.949,6.775,117.004

0.133,0.130,0.646,22.095,2.686,109.375

0.113,0.196,0.689,26.306,-1.221,102.600

0.130,0.290,0.717,34.485,-4.944,96.191

0.207,0.431,0.746,42.664,-7.568,88.623

0.259,0.496,0.799,54.443,-7.812,78.552

0.307,0.548,0.872,57.617,-3.357,68.787

0.350,0.579,0.932,58.472,2.930,61.218

0.381,0.567,0.997,50.964,7.446,56.091

0.392,0.526,1.048,31.738,11.230,53.406

0.374,0.485,1.052,4.211,14.038,53.284

0.331,0.448,1.021,-23.804,16.724,54.199

0.325,0.424,0.956,-47.607,19.226,53.650

0.367,0.383,0.833,-61.584,20.325,48.889

0.399,0.361,0.728,-65.613,18.005,41.748

0.425,0.356,0.640,-62.866,12.756,35.278

0.461,0.379,0.570,-51.880,6.348,31.860

0.460,0.411,0.554,-35.522,-1.953,31.006

0.435,0.425,0.586,-15.808,-9.521,31.250

